transform,video_id,spread,w2_barycenter,w2_mean,gap_pct,bary_wins
Softmax tau=0.2,video_35,109.43794210526318,75.3198,94.844,20.58559318459786,True
Softmax tau=0.2,video_36,97.14429999999999,69.5582,76.886,9.530733813698198,True
Softmax tau=0.2,video_37,122.77926315789472,76.83500000000001,97.8038,21.439657763808757,True
Softmax tau=0.2,video_38,126.27093157894737,70.1404,93.17840000000001,24.72461428829,True
Softmax tau=0.2,video_39,85.11344736842106,38.53620000000001,48.4012,20.381726072907274,True
Softmax tau=0.2,video_40,108.36636315789475,43.1852,50.3524,14.2340782167285,True
Softmax tau=0.2,video_41,110.52052105263161,52.748000000000005,72.0016,26.740516877402715,True
Softmax tau=0.2,video_42,86.52437368421053,42.1082,50.29279999999999,16.273900041357802,True
Softmax tau=0.2,video_43,96.03804210526317,35.5416,41.3168,13.977849204197803,True
Softmax tau=0.2,video_44,88.79553157894738,45.126,52.6712,14.325096067680253,True
Softmax tau=0.2,video_45,115.64138947368421,61.967,79.5492,22.10229644044189,True
Softmax tau=0.2,video_46,115.36169999999998,29.4244,30.456,3.387181507748887,True
Softmax tau=0.2,video_47,84.41393157894737,43.2012,53.9292,19.89274826995394,True
Softmax tau=0.2,video_48,98.02063157894736,48.3686,52.9704,8.687493392536204,True
Softmax tau=0.2,video_49,83.394,44.376,58.3806,23.988448217387287,True
Softmax tau=0.2,video_50,122.89536315789474,113.83139999999999,132.1666,13.872793882872074,True
z-score exp tau=1.0,video_01,11.84653684210526,3.6096000000000004,3.6584000000000003,1.3339164662147374,True
z-score exp tau=1.0,video_02,9.0152,4.761799999999999,4.9524,3.8486390436960014,True
z-score exp tau=1.0,video_03,8.964736842105262,5.605200000000001,5.8416,4.04683648315528,True
z-score exp tau=1.0,video_04,11.48408947368421,6.9982,7.0535999999999985,0.7854145400929851,True
z-score exp tau=1.0,video_05,12.306042105263158,5.370399999999999,5.805400000000001,7.493023736521193,True
z-score exp tau=1.0,video_06,10.551363157894738,8.4596,9.0058,6.064980345999252,True
z-score exp tau=1.0,video_07,12.230078947368423,9.216800000000001,9.9198,7.086836428153787,True
z-score exp tau=1.0,video_08,13.659531578947368,4.8376,5.009600000000001,3.433407856914735,True
z-score exp tau=1.0,video_09,13.8695,3.5195999999999996,3.5064,-0.3764544832306478,False
z-score exp tau=1.0,video_10,10.708721052631581,5.501199999999999,5.713800000000001,3.7208162693829303,True
z-score exp tau=1.0,video_11,7.462378947368421,3.088,3.2396000000000003,4.679590072848505,True
z-score exp tau=1.0,video_12,13.018478947368424,6.1944,6.7356,8.034918938179226,True
z-score exp tau=1.0,video_13,11.39702105263158,10.126000000000001,10.7118,5.4687354132825385,True
z-score exp tau=1.0,video_14,15.115063157894737,11.060599999999999,12.0306,8.06277326151647,True
z-score exp tau=1.0,video_15,13.15165789473684,9.662600000000001,10.052,3.873855949064847,True
z-score exp tau=1.0,video_16,11.463336842105264,6.300800000000001,6.6624,5.427473583093168,True
z-score exp tau=1.0,video_17,11.608263157894735,7.3314,7.824800000000001,6.305592475207038,True
z-score exp tau=1.0,video_18,10.218394736842106,5.215000000000001,5.499,5.164575377341316,True
z-score exp tau=1.0,video_19,14.379589473684213,4.409599999999999,4.522,2.4856258292791007,True
z-score exp tau=1.0,video_20,11.529157894736842,9.874599999999997,10.257000000000001,3.728185629326353,True
z-score exp tau=1.0,video_21,13.354268421052632,6.867399999999999,7.3006,5.933758869134059,True
z-score exp tau=1.0,video_22,10.087252631578947,6.191,6.5376,5.301639745472351,True
z-score exp tau=1.0,video_23,10.6726,6.6861999999999995,7.038000000000001,4.99857914180167,True
z-score exp tau=1.0,video_24,9.248778947368422,3.9037999999999995,4.0434,3.452539941633294,True
z-score exp tau=1.0,video_25,14.84832105263158,6.984399999999999,7.2288,3.380920761398858,True
z-score exp tau=1.0,video_26,15.32046842105263,8.854,9.7926,9.584788513775718,True
z-score exp tau=1.0,video_27,18.551715789473683,16.7944,17.596799999999998,4.559919985451893,True
z-score exp tau=1.0,video_28,6.937057894736842,6.3804,6.582799999999999,3.0746794677036986,True
z-score exp tau=1.0,video_29,6.114773684210526,2.9821999999999997,2.9366,-1.552816181979155,False
z-score exp tau=1.0,video_30,16.635678947368422,12.478800000000001,13.324000000000002,6.3434404082858,True
z-score exp tau=1.0,video_31,10.953352631578946,4.4074,4.668200000000001,5.586735786812916,True
z-score exp tau=1.0,video_32,7.64227894736842,3.0845999999999996,3.2766000000000006,5.8597326496978885,True
z-score exp tau=1.0,video_33,13.682773684210526,8.9346,9.4322,5.275545471894152,True
z-score exp tau=1.0,video_34,12.64047894736842,11.687000000000001,12.3642,5.477103249704785,True
z-score exp tau=1.0,video_35,12.391289473684212,7.9670000000000005,8.4982,6.250735449859971,True
z-score exp tau=1.0,video_36,14.493989473684211,12.484599999999999,13.092000000000002,4.639474488237119,True
z-score exp tau=1.0,video_37,11.716426315789475,10.583400000000001,11.070200000000002,4.397391194377703,True
z-score exp tau=1.0,video_38,12.818021052631579,6.954599999999999,7.275000000000001,4.404123711340234,True
z-score exp tau=1.0,video_39,8.006173684210527,4.4376,4.754,6.655448043752625,True
z-score exp tau=1.0,video_40,10.40208947368421,2.726,2.7573999999999996,1.138753898600118,True
z-score exp tau=1.0,video_41,11.187726315789476,6.7726,7.2246,6.256401738504554,True
z-score exp tau=1.0,video_42,8.761615789473684,4.4054,4.4201999999999995,0.33482647843987284,True
z-score exp tau=1.0,video_43,9.904210526315788,2.6399999999999997,2.4584,-7.386918320859076,False
z-score exp tau=1.0,video_44,9.533405263157894,4.7148,4.9646,5.0316238971921114,True
z-score exp tau=1.0,video_45,12.48384210526316,6.051200000000001,6.3957999999999995,5.387910816473295,True
z-score exp tau=1.0,video_46,12.824747368421052,2.5452000000000004,2.3078,-10.286853280180281,False
z-score exp tau=1.0,video_47,8.566557894736842,3.3204000000000002,3.3378,0.5213014560488902,True
z-score exp tau=1.0,video_48,10.600636842105263,6.0458,6.313599999999999,4.241637100861623,True
z-score exp tau=1.0,video_49,6.706489473684211,3.1098000000000003,3.3040000000000007,5.87772397094432,True
z-score exp tau=1.0,video_50,12.029131578947368,9.818999999999999,10.243200000000002,4.141283973758225,True
z-score exp tau=0.5,video_01,47.13036842105264,15.725400000000002,16.387,4.037346677244146,True
z-score exp tau=0.5,video_02,40.83503684210526,23.047199999999997,27.4384,16.003848620910855,True
z-score exp tau=0.5,video_03,37.210242105263156,22.8114,26.9318,15.299385856125474,True
z-score exp tau=0.5,video_04,48.2731947368421,29.725599999999996,34.011,12.600041163153115,True
z-score exp tau=0.5,video_05,54.58267368421052,24.679,30.586400000000005,19.313812674914356,True
z-score exp tau=0.5,video_06,51.53066315789474,36.5348,44.4572,17.820285578039112,True
z-score exp tau=0.5,video_07,48.22555263157896,30.9518,37.882799999999996,18.29590209804977,True
z-score exp tau=0.5,video_08,54.73066315789474,19.8654,23.081,13.93180538104934,True
z-score exp tau=0.5,video_09,57.54717894736842,17.1466,17.2988,0.8798298147848438,True
z-score exp tau=0.5,video_10,44.44668947368421,24.8768,28.356,12.269713640852032,True
z-score exp tau=0.5,video_11,32.62891052631579,12.6128,14.8244,14.918647634980173,True
